Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
https://www.foruns.unicamp.br/,0.0,1.0,Fórum Permanente: Alerta Precoce para a Redução de Risco de Desastres: Um olhar para a Região Metropolitana de Campinas.,,,,,,,,,,,,
https://www.foruns.unicamp.br/,0.0,2.0,,,,,,,,,,,,,
https://www.foruns.unicamp.br/,1.0,1.0,Fórum Permanente: Por uma justiça epistêmica: Encontro de Saberes e outras propostas para descolonização dos currículos.,,,,,,,,,,,,
https://www.foruns.unicamp.br/,1.0,2.0,,,,,,,,,,,,,
https://www.foruns.unicamp.br/,2.0,1.0,"Os Fóruns Permanentes da Unicamp, criados com o objetivo de promover a aproximação entre pensamento acadêmico e sociedade, completam, em 2022, dezenove anos de realização.",,,,,,,,,,,,
https://www.foruns.unicamp.br/,3.0,1.0,"Em 2017, o Programa passou a fazer parte da estrutura da Diretoria de Cultura da Pró-Reitoria de Extensão e Cultura.",,,,,,,,,,,,
https://www.foruns.unicamp.br/,3.0,2.0,Atualmente os Fóruns Permanentes estão ligados diretamente ao Gabinete da Pró-Reitoria de Extensão e Cultura (ProEC).,,,,,,,,,,,,
https://www.foruns.unicamp.br/,4.0,1.0,"A proposta central para a realização de fóruns no ambiente acadêmico é colocar em debate temas atuais e relevantes para a sociedade, buscando possibilidades de transformação.",,,,,,,,,,,,
https://www.foruns.unicamp.br/,4.0,2.0,"Trazer para a discussão especialistas e representantes de instituições, órgãos, associações e outros grupos envolvidos com as temáticas, sejam de áreas públicas, privadas ou da sociedade civil, para que se fortaleça o diálogo entre a pesquisa, o ensino e a sociedade, diálogo esse mediado pela cultura e pela extensão.",,,,,,,,,,,,
https://www.foruns.unicamp.br/,5.0,1.0,Fique por dentro de nossas atividades,,,,,,,,,,,,
https://www.foruns.unicamp.br/,6.0,1.0,EVENTO,,,,,,,,,,,,
https://www.foruns.unicamp.br/,7.0,1.0,Publicado em 24/04/2023,,,,,,,,,,,,
https://www.foruns.unicamp.br/,8.0,1.0,NOTÍCIA,,,,,,,,,,,,
https://www.foruns.unicamp.br/,9.0,1.0,Publicado em 30/03/2023,,,,,,,,,,,,
https://www.foruns.unicamp.br/,10.0,1.0,NOTÍCIA,,,,,,,,,,,,
https://www.foruns.unicamp.br/,11.0,1.0,Publicado em 20/03/2023,,,,,,,,,,,,
https://www.foruns.unicamp.br/,12.0,1.0,NOTÍCIA,,,,,,,,,,,,
https://www.foruns.unicamp.br/,13.0,1.0,Publicado em 26/01/2023,,,,,,,,,,,,
https://www.foruns.unicamp.br/,14.0,1.0,PROEC,,,,,,,,,,,,
https://www.foruns.unicamp.br/,15.0,1.0,26/05/2023,,,,,,,,,,,,
https://www.foruns.unicamp.br/,16.0,1.0,PROEC,,,,,,,,,,,,
https://www.foruns.unicamp.br/,17.0,1.0,29/05/2023,,,,,,,,,,,,
https://www.foruns.unicamp.br/,18.0,1.0,PROEC,,,,,,,,,,,,
https://www.foruns.unicamp.br/,19.0,1.0,26/05/2023,,,,,,,,,,,,
https://www.foruns.unicamp.br/,20.0,1.0,PROEC,,,,,,,,,,,,
https://www.foruns.unicamp.br/,21.0,1.0,26/05/2023,,,,,,,,,,,,
https://www.foruns.unicamp.br/,22.0,1.0,DESTAQUE,,,,,,,,,,,,
https://www.foruns.unicamp.br/,23.0,1.0,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.,,,,,,,,,,,,
